epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,1267.23,0.66818,1.36529,1.22655,1.15481,0,0.39726,0.7,0.61315,0.27011,0.58079,0.55043,0.58629,0.24912,1.56056,2.97501,2.66514,2.08168,0,0.00120491,0.00120491,0.00120491
30,1307.62,0.72198,1.53142,1.22414,1.18468,0,0.50499,0.75996,0.64531,0.25686,0.53035,0.63333,0.59353,0.29457,1.71969,2.77545,2.65007,2.20144,0,0.0011884,0.0011884,0.0011884
31,1345.88,0.67644,1.22061,1.15592,1.16229,0,0.50499,0.75996,0.64531,0.25686,0.53035,0.63333,0.59353,0.29457,1.71969,2.77545,2.65007,2.20144,0,0.0011719,0.0011719,0.0011719
32,1390.61,0.6651,1.50493,1.13565,1.12552,0,0.57586,0.63333,0.52331,0.28472,0.57586,0.63333,0.47086,0.25376,1.52981,2.77726,2.82973,2.1017,0,0.0011554,0.0011554,0.0011554
33,1441.45,0.70261,1.45244,1.31463,1.20308,0,0.51845,0.81667,0.68783,0.41315,0.4563,0.73333,0.62697,0.40718,1.04859,2.2836,2.39009,1.68338,0,0.00113889,0.00113889,0.00113889
34,1480.31,0.61375,1.27093,1.24568,1.12558,0,0.74457,0.72427,0.85071,0.56507,0.74457,0.72427,0.78227,0.55156,1.05771,3.30369,1.92451,1.74584,0,0.00112239,0.00112239,0.00112239
35,1519.88,0.69319,1.32382,1.15176,1.16225,0,0.74457,0.72427,0.85071,0.56507,0.74457,0.72427,0.78227,0.55156,1.05771,3.30369,1.92451,1.74584,0,0.00110589,0.00110589,0.00110589
36,1557.76,0.62473,1.10012,1.10612,1.12981,0,0.8957,0.75,0.84382,0.55309,0.8957,0.75,0.80167,0.49264,1.07988,4.33101,2.07682,1.80818,0,0.00108938,0.00108938,0.00108938
37,1595.99,0.63544,1.29192,1.0357,1.12521,0,0.84135,0.87248,0.955,0.67844,0.84135,0.87248,0.955,0.60282,1.1246,2.3137,1.86349,1.82992,0,0.00107288,0.00107288,0.00107288
38,1638.46,0.67736,1.08897,1.16584,1.18046,0,0.89331,0.98085,0.97833,0.71202,0.89331,0.98085,0.97833,0.652,0.79553,1.98457,1.61779,1.46877,0,0.00105638,0.00105638,0.00105638
39,1678.35,0.66969,1.19368,1.06923,1.1119,0,0.89331,0.98085,0.97833,0.71202,0.89331,0.98085,0.97833,0.652,0.79553,1.98457,1.61779,1.46877,0,0.00103987,0.00103987,0.00103987
40,1718.12,0.67987,1.22597,1.08027,1.10353,0,1,0.77718,0.93006,0.69672,1,0.77718,0.88683,0.59292,0.79909,1.98597,1.84728,1.43351,0,0.00102337,0.00102337,0.00102337
41,1759,0.66771,1.32867,1.12453,1.14569,0,0.83591,0.71667,0.87106,0.57702,0.83591,0.71667,0.84972,0.56348,0.83119,1.8921,2.03515,1.45855,0,0.00100687,0.00100687,0.00100687
42,1797.11,0.65185,1.18745,1.10099,1.16034,0,0.73364,0.81667,0.84583,0.62556,0.73364,0.81667,0.80639,0.58609,0.85837,2.09768,1.93,1.4962,0,0.000990365,0.000990365,0.000990365
43,1838.71,0.63672,1.16737,0.97436,1.13058,0,0.73364,0.81667,0.84583,0.62556,0.73364,0.81667,0.80639,0.58609,0.85837,2.09768,1.93,1.4962,0,0.000973861,0.000973861,0.000973861
44,1895.77,0.64074,1.44332,1.02715,1.09384,0,0.58759,0.80115,0.74881,0.53154,0.58759,0.80115,0.74188,0.45366,0.85766,2.43712,2.09226,1.61571,0,0.000957358,0.000957358,0.000957358
45,1951.15,0.6421,1.28575,1.0703,1.13056,0,0.88019,0.74981,0.80597,0.53527,0.88019,0.74981,0.75417,0.48953,0.97758,2.05258,2.26783,1.69147,0,0.000940855,0.000940855,0.000940855
46,2015.57,0.55472,1.15821,0.91904,1.05832,0,0.86749,0.77731,0.80917,0.52727,0.86749,0.77731,0.79554,0.54754,0.94342,1.6319,2.63958,1.62742,0,0.000924352,0.000924352,0.000924352
47,2071.35,0.59187,1.21468,0.96528,1.1179,0,0.86749,0.77731,0.80917,0.52727,0.86749,0.77731,0.79554,0.54754,0.94342,1.6319,2.63958,1.62742,0,0.000907848,0.000907848,0.000907848
48,2122.15,0.5677,1.22223,0.96626,1.09048,0,0.75592,0.7191,0.75579,0.50796,0.75592,0.7191,0.75417,0.50303,1.04733,2.46952,2.56388,1.67563,0,0.000891345,0.000891345,0.000891345
49,2172.42,0.58487,1.17363,0.97793,1.08681,0,0.88609,0.67567,0.87599,0.58171,0.88609,0.67567,0.87405,0.50383,1.06614,2.19893,2.58794,1.62264,0,0.000874842,0.000874842,0.000874842
50,2212.96,0.58305,1.20083,0.97766,1.11801,0,0.99389,0.82764,0.89125,0.64192,0.99389,0.82764,0.89071,0.62931,0.94343,1.97897,1.82797,1.56896,0,0.000858338,0.000858338,0.000858338
51,2257.08,0.59602,1.37549,0.953,1.11776,0,0.99389,0.82764,0.89125,0.64192,0.99389,0.82764,0.89071,0.62931,0.94343,1.97897,1.82797,1.56896,0,0.000841835,0.000841835,0.000841835
52,2303.49,0.53661,1.25682,0.89445,1.0457,0,0.98527,0.82942,0.87771,0.62403,0.98527,0.82942,0.87722,0.68056,0.97126,1.62273,1.74966,1.63799,0,0.000825332,0.000825332,0.000825332
53,2344.19,0.57767,1.17942,0.9873,1.14659,0,0.99129,0.82736,0.89182,0.60845,0.99129,0.82736,0.89129,0.70693,0.96724,1.48718,1.75342,1.72836,0,0.000808828,0.000808828,0.000808828
54,2391.23,0.61762,1.1967,0.98174,1.10254,0,0.94756,0.87971,0.91639,0.65107,0.94756,0.87971,0.915,0.71076,0.94616,1.49019,1.73171,1.7559,0,0.000792325,0.000792325,0.000792325
55,2443.18,0.57939,1.07618,0.96183,1.11484,0,0.94756,0.87971,0.91639,0.65107,0.94756,0.87971,0.915,0.71076,0.94616,1.49019,1.73171,1.7559,0,0.000775822,0.000775822,0.000775822
56,2486.84,0.57225,1.05645,0.94226,1.08992,0,0.93396,0.89797,0.923,0.67866,0.93396,0.89797,0.923,0.71871,0.91248,1.42614,1.60171,1.72222,0,0.000759318,0.000759318,0.000759318
57,2529.21,0.53721,1.0286,0.86746,1.04669,0,0.75352,0.91667,0.9342,0.69595,0.75352,0.91667,0.9342,0.75732,0.95973,1.33676,1.61712,1.75911,0,0.000742815,0.000742815,0.000742815
58,2569.85,0.53054,1.13771,0.87727,1.04057,0,0.64845,0.92719,0.91741,0.61799,0.64845,0.92719,0.91741,0.72503,0.93721,1.31852,1.94728,1.64553,0,0.000726312,0.000726312,0.000726312
59,2607.4,0.52967,1.12908,0.95736,1.05453,0,0.64845,0.92719,0.91741,0.61799,0.64845,0.92719,0.91741,0.72503,0.93721,1.31852,1.94728,1.64553,0,0.000709809,0.000709809,0.000709809
